Espacenet;;;;;;;;;;;
Patent search;;;;;;;;;;;
"307 results found for (ctxt any ""fuel"" AND (ctxt any ""assemb*"" OR ctxt any ""bundl*"" OR ctxt any ""cartridg*"")) AND (ctxt any ""nuclear"" OR (ctxt any ""boil*"" AND ctxt any ""water*"")) AND ((ctxt any ""head*"" OR ctxt any ""cover*"") OR ((ctxt any ""top*"" OR ctxt any ""upper*"") AND (ctxt any ""nozzl*"" OR ctxt any ""cap*"" OR ctxt any ""lid*"" OR ctxt any ""plat*"" OR ctxt any ""end*"" OR ctxt any ""hood*"" OR ctxt any ""stem*""))) AND pd > ""2005-01-01"" AND (pn any ""FR"" OR pn any ""EP"")";;;;;;;;;;;
Results 1 to 307 displayed;;;;;;;;;;;
Query language: en / de / fr;;;;;;;;;;;
Sort by: Relevance;;;;;;;;;;;
;;;;;;;;;;;
No;Title;Abstract;Inventors;Applicants;Publication number;Earliest priority;IPC;CPC;Publication date;Earliest publication;Family number
236;Burnable poison materials and apparatuses for nuclear reactors and methods of using the same;Example embodiments are directed to materials useable as burnable poisons in nuclear reactors, components using the same, and methods of using the same. Example embodiment burnable poison materials produce desired daughter products as they burn out, thereby permitting placement and use for neutronic characteristic improvement and/or neutron flux shielding in locations conventionally barred as uneconomical. Example embodiment burnable poison materials may include natural iridium and enriched iridium-193. Example embodiment components may be fabricated, shaped, and placed to provide desired burnable poison effects in the reactor core in conventional locations and locations not conventionally used due to economic infeasibility. Example methods include use of example embodiment components, including determining locations benefiting from burnable poison effects (S100), fabricating example embodiment components of a desired amount of example embodiment burnable poison materials (S110), placing the example embodiment components (S120), exposing example embodiment components to flux within the operating nuclear reactor (S130), removing and harvesting (S140) example embodiment burnable poison components for desired daughter products produced from example embodiment burnable poison materials.;"RUSSELL II WILLIAM EARL [US] 
MONETTA CHRISTOPHER J [US] 
TROSMAN LUKAS [US]";GE HITACHI NUCL ENERGY AMERICA [US];"EP2242063A2 
EP2242063A3 
EP2242063B1";17.04.2009;"G21C7/04 
G21G1/02";"G21C7/04 (EP,US) 
G21G1/02 (EP,US) 
G21G1/001 (EP,US) 
G21G2001/0094 (EP,US) 
Y02E30/30 (EP,US)";"2010-10-20 
2013-01-23 
2015-10-07";17.10.2010;42651205
237;PASSIVE PROTECTION OF A NUCLEAR REACTOR;The invention relates to nuclear reactor protection systems and can be used when building nuclear reactors, in particular, the fast neutron reactors. The Technical result of the invention consists in the expansion of the functional capabilities of the negative reactivity passive insertion device by securing its reliable actuation in various emergency conditions. The device has two vessels located in a common enclosure one under another with a ring-shape hollow space between the vessels and the enclosure to let the heat carrier flow. Fuel elements are located in the ring-shape hollow space, as well as the tooling for the heat carrier flow formation to cool the fuel elements and heat the upper vessel. The upper vessel is located above the reactor core and is divided with an internal partition wall to the central cylindrical and ring-shape hollow spaces. The partition wall has low thermal conductivity in the transverse direction. In the central hollow space of the upper vessel the cadmium isotope is mainly located, while in its ring-shape space - mercury. Lower vessel is mainly located in the active core of the reactor and filled with inert gas. The vessels and are connected with a pipe with a partition, made in the form of buckling rapture disc.;"SLESAREV IGOR SERGEEVICH [RU] 
LEONOV VIKTOR NIKOLAEVICH [RU] 
KUBINTSEV BORIS BORISOVICH [RU] 
RODINA ELENA ALEKSANDROVNA [RU] 
CHERNOBROVKIN YURIY VASILEVICH [RU] 
SHEVCHENKO ALEKSEY BORISOVICH [RU]";STATE ATOMIC ENERGY CORP ROSATOM BEHALF RUSSIAN FEDERATION [RU];"EP3306619A1 
EP3306619A4 
EP3306619B1";01.06.2015;"G21C7/22 
G21C9/033";"G21C15/18 (US) 
G21C7/22 (EP,KR,RU,US) 
G21C7/24 (US) 
G21C9/024 (EP) 
G21C9/033 (EP,KR,RU,US) 
G21C3/326 (US) 
Y02E30/30 (EP,KR,US)";"2018-04-11 
2019-01-16 
2020-03-11";08.12.2016;57441310
238;NUCLEAR REACTOR;The invention relates to the field of nuclear energy, more particularly to low-power and particularly low-power reactors. A nuclear reactor contains a housing with a reflector which forms a reactor core. The core has arranged therein primary process tubes, which are intended for circulating a coolant, and secondary process tubes, which are intended for accommodating elements of a control and protection system. The reactor also contains an intake chamber for coolant of a primary loop, and a discharge chamber for coolant of the primary loop, which are separated by a partition. The primary process tubes are designed in the form of Field tubes, the outer tubes of which are secured on the bottom of the intake chamber for the coolant of the primary loop, and the inner tubes are secured on the partition. Fuel assemblies are mounted in the inner tubes of the Field tubes on suspensions, which are secured on an upper portion of the discharge chamber for the coolant of the primary loop. The secondary process tubes are sealed off from the intake and discharge chambers for the coolant of the primary loop, and the inter-tube space of the core is filled with a medium or material which is transparent to neutrons.;"LEBEDEV LARION ALEKSANDROVICH [RU] 
LEVCHENKO VALERIY ALEKSEYEVICH [RU]";RES AND DEVELOPMENT CENTER FOR INNOVATIONS [RU];"EP3306618A1 
EP3306618A4 
EP3306618B1";29.05.2015;"G21C1/20 
G21C15/04 
G21C1/02 
G21C11/06 
G21C7/04";"G21C1/022 (EP,US) 
G21C1/20 (KR,US) 
G21C11/06 (EP,US) 
G21C15/04 (EP,KR,US) 
G21C7/04 (EP,US) 
G21C9/033 (US) 
Y02E30/30 (EP,KR,US)";"2018-04-11 
2018-11-21 
2020-01-29";20.08.2016;56697535
239;DEVICE FOR DRESSING A GRINDING WHEEL, AND USE THEREOF IN A CENTERLESS GRINDER FOR NUCLEAR FUEL PELLETS;The invention relates to a dressing device (1) for a grinding wheel (2), including a sleeve (10) for laterally holding and guiding, along the horizontal axis (X) thereof, a corundum rod (3), a ram (11) for applying a constant pressing force to the corundum rod (3) held and guided in the sleeve (10) against the grinding wheel (2), means (4, 40, 41) for rigidly connecting the ramrod (110) to the end of the corundum rod, and linear guide means (13) for the sleeve for translating the corundum rod parallel to the axis (y) of the grinding wheel while keeping said rod pressed against the latter with a constant force. The invention can be used in a centerless grinder (5) in which the grinding wheel (2) has the function of grinding nuclear fuel pellets.;"BENED JOSE [FR] 
MEDINA HERVE [FR] 
BENED JOS√â [FR] 
MEDINA HERV√â [FR]";AREVA NC [FR];"EP2598288A1 
EP2598288B1";27.07.2010;"B24B53/04 
B24B53/12";"B24B53/04 (EP,US) 
B24B53/12 (EP,US)";"2013-06-05 
2014-09-17";02.02.2012;43640247
240;NUCLEAR REACTOR WITH SCREW-NUT DRIVE OF THE CORE REACTIVITY CONTROL MEMBERS;"The nuclear reactor comprises a plurality of mechanisms (11) that drive the control members (9) that control the reactivity of the core, each one comprising: - a driving member (21) comprising a driving part (23) forming one out of a screw or a nut; - a member (27) for applying a rotary torque of the rotor (19) to the driving member (21); - a driven member (29) translationally connected to one of the control members (9) and comprising the other out of a screw and a nut; - a member (33) that is selectively mobile between a position of blocking the driving member (21) and a position of releasing the driving member (21). In each drive mechanism (11): - the motor (15) is fully immersed in the primary coolant inside the vessel (3); - the rotor (19) has a central passage (35), the member for applying the rotary torque (27) being situated in or near the central passage (35); - the driving member (21) comprises a connecting part (37) engaged in the central passage (35) and collaborating with the member for applying the rotary torque (27), the connecting part (37) being free to effect a translational movement inside the central passage (35) with respect to the rotor (19) when the or each blocking member (33) is in the releasing position.";"RANC LIONEL [FR] 
DUMANOIS CHARLES [FR] 
ROUILLER JEAN-LUC [FR]";SOC TECHNIQUE POUR LENERGIE ATOMIQUE [FR];"EP3329493A1 
EP3329493B1";29.07.2015;"G21C1/32 
G21C7/12 
G21C7/14 
G21C9/02";"G21C1/32 (EP,US) 
G21C7/12 (EP,US) 
G21C7/14 (EP,US) 
G21C9/02 (EP,US) 
G21C15/02 (US) 
G21C7/113 (US) 
Y02E30/30 (EP,US)";"2018-06-06 
2019-05-22";02.02.2017;54545270
241;NUCLEAR THERMAL PROPULSION FUEL ELEMENT PACKING DEVICE;A packing device for filling fuel elements with a powder through a fill aperture in an outer shell of the fuel element, including a stationary base, a clamp assembly including a body defining a bore therein, the bore being configured to slidably receive a fuel element therein, wherein the clamp assembly is movable along a vertical axis with respect to the stationary base, a cam assembly including a cam and a drive motor configured to rotate the cam, wherein rotation of the cam alternatingly raises the clamp assembly up along the vertical axis and subsequently drops the clamping assembly, and a powder reservoir assembly including a powder reservoir and a fill needle in fluid communication with the powder reservoir.;"LAKE RUSSELL [US] 
INMAN JAMES B [US] 
RIDGEWAY ROGER [US]";BWXT NUCLEAR ENERGY INC [US];"EP4235692A1 
EP4235692B1 
EP4235692C0";08.10.2018;"G21C21/02 
G21C21/04 
G21C3/02 
G21C3/26";"G21C21/04 (EP,US) 
G21C21/00 (US) 
G21C21/02 (US) 
Y02E30/30 (EP,US)";"2023-08-30 
2024-09-25";09.04.2020;70052567
242;HAZARDOUS MATERIAL CANISTER;"A canister to store spent nuclear fuel in an underground repository includes a first end portion; a second end portion; and a middle portion attachable to the first and second end portions to define an interior volume of the housing that is sized to enclose at least one spent nuclear fuel assembly. The first and second end portions comprise shielding.";MULLER RICHARD A [US];DEEP ISOLATION INC [US];"EP3803905A1 
EP3803905B1 
EP3803905C0";04.06.2018;"G21F5/008 
G21F5/06";"G21F1/08 (KR,US) 
G21F5/002 (KR,US) 
G21F5/008 (EP,KR,US) 
G21F5/06 (EP,KR) 
G21F9/36 (KR,US) 
E21B41/0057 (KR,US) 
Y02E30/30 (EP)";"2021-04-14 
2024-10-30";12.12.2019;66952057
243;NUCLEAR REACTOR CONTROL METHOD AND APPARATUS;A method for controlling a nuclear reactor is disclosed. The method includes providing a moderator zone in a core of the nuclear reactor, providing a fuel in the moderator zone, and providing one or more housings, each having a cavity, adjacent to the fuel. The method also includes allowing movement of a moderator between the moderator zone and the cavity of the one or more housings at a lower portion of the one or more housings. The method further includes confining moderator in the cavity of the one or more housings at an upper portion of the one or more housings.;MANN NEAL [US];MANN NEAL [US];"EP2707881A1 
EP2707881A4 
EP2707881B1";13.05.2011;"G21C7/06 
G21C15/00 
G21C5/02 
G21C7/22";"G21C5/02 (EP,US) 
G21C7/06 (KR) 
G21C7/22 (EP,US) 
G21C7/26 (KR) 
G21C15/00 (EP,US) 
Y02E30/30 (EP,US)";"2014-03-19 
2015-02-25 
2018-04-25";15.11.2012;47141882
244;Apparatus and system for dampening the vibration experienced by a sprager pipe;"An embodiment of the present invention may reduce the level of vibration experienced by a line, such as, but not limiting of, a pipe, a cable, tubing, or the like, that is connected to at least one separate structure. For example, but not limiting of, the structure includes: a reactor pressure vessel (10), a feedwater sparger pipe (20), steam generator, a pipe, a pressure vessel, a heat exchanger, a pump, a condenser, a tank, or the like. An embodiment of the present invention may provide support and a preload to the line at a new location or may replace an existing support, such as, but not limiting of, a weld; which may alter the natural frequencies to avoid resonance from occurring when the structure(s) is excited.";"WROBLEWSKI NORBET B [US] 
DEFILIPPIS MICHAEL S [US] 
ANDRE LEE J [US]";GE HITACHI NUCL ENERGY AMERICA [US];"EP2236883A2 
EP2236883A3 
EP2236883B1";30.03.2009;"F16L3/10 
F16L55/035 
G21C13/032 
G21C15/00";"F16L3/10 (EP,US) 
F16L55/035 (EP,US) 
G21C13/032 (EP,US) 
G21C15/00 (EP,US) 
Y02E30/30 (EP,US)";"2010-10-06 
2013-11-27 
2014-12-10";29.09.2010;42263734
245;"GAS DIFFUSION ELECTRODE AND PRODUCTION METHOD FOR SAME; MEMBRANE ELECTRODE ASSEMBLY AND PRODUCTION METHOD FOR SAME";"[Object] To provide a gas diffusion electrode capable of a high current density operation of a fuel cell. [Solving means] A gas diffusion electrode including a hydrophilic porous layer having an electrically conductive material and an ion conductive material; and a catalyst layer adjacent to the hydrophilic porous layer, wherein a water transport resistance of the hydrophilic porous layer is smaller than a water transport resistance of the catalyst layer.";"SATOU KAZUYUKI [JP] 
OHMA ATSUSHI [JP] 
ONO YOSHITAKA [JP] 
IDEN HIROSHI [JP] 
SAKAI KEI [JP]";NISSAN MOTOR [JP];"EP2448048A1 
EP2448048A4";26.06.2009;"B01J35/00 
H01M4/86 
H01M4/88 
H01M8/0243 
H01M8/0245 
H01M8/1004";"H01M4/8605 (EP,US) 
H01M4/8652 (EP,US) 
H01M4/8657 (EP,US) 
H01M4/881 (EP,US) 
H01M4/8828 (EP,US) 
H01M4/8892 (EP,US) 
H01M4/8896 (EP,US) 
H01M8/0243 (EP,US) 
H01M8/0245 (EP,US) 
H01M8/1004 (EP,US) 
Y02E60/50 (EP,US) 
Y02P70/50 (EP,US)";"2012-05-02 
2017-01-11";29.12.2010;43386640
246;PRODUCTION METHOD FOR ELECTRODE CATALYST, ELECTRODE CATALYST, COMPOSITION FOR FORMING GAS DIFFUSION ELECTRODE, GAS DIFFUSION ELECTRODE, MEMBRANE-ELECTRODE ASSEMBLY (MEA), AND FUEL CELL STACK;"Provided is a production method of an electrode catalyst that can reduce the content of chlorine species reliably and sufficiently through a simple operation, even when using an electrode catalyst precursor containing a high concentration of chlorine (Cl) species as a raw material of the electrode catalyst. The production method of the electrode catalyst has a core-shell structure including a core part formed on a support and a shell part formed to cover at least a part of a surface of the core part. The production method includes a first step (1) of preparing a first liquid with an electrode catalyst precursor (I) being dispersed in ultrapure water by adding the electrode catalyst precursor (I) to the ultrapure water, the electrode catalyst precursor (I) being produced using a material containing chlorine (Cl) species, and exhibiting a chlorine (Cl) species concentration not lower than a first chlorine (Cl) species concentration when measured by X-ray fluorescence (XRF) spectroscopy; and a second step (2) of preparing a second liquid by dispersing an electrode catalyst precursor (II), the electrode catalyst precursor (II) being obtained by filtrating and washing the electrode catalyst precursor (I) contained in the first liquid with ultrapure water , and then performing washing until an electric conductivity p of a filtrate has become a first value or lower.";"NAKAMURA YOKO [JP] 
NAGAMORI KIYOTAKA [JP] 
MIZUSAKI TOMOTERU [JP] 
TSUBAKI TAKUYA [JP]";N E CHEMCAT CORP [JP];"EP3035424A1 
EP3035424A4 
EP3035424B1";28.03.2014;"H01M4/86 
H01M4/88 
H01M4/90 
H01M4/92 
H01M8/02 
H01M8/10 
H01M8/1018";"H01M4/86 (EP,US) 
H01M4/8657 (EP,US) 
H01M4/8825 (US) 
H01M4/8842 (EP,US) 
H01M4/90 (EP,US) 
H01M4/92 (EP,US) 
H01M4/921 (US) 
H01M4/926 (US) 
H01M2008/1095 (EP,US) 
H01M8/02 (EP,US) 
Y02E60/50 (EP) 
Y02P70/50 (EP,US)";"2016-06-22 
2016-09-28 
2018-03-14";01.10.2015;54195812
247;HEAVY RADIAL NEUTRON REFLECTOR FOR PRESSURIZED WATER REACTORS;A heavy radial neutron reflector for a pressurized water reactor that employs elongated lengths of round bar stock closely packed in either a triangular or rectangular array extending between former plates of a core shroud between the core barrel and the baffle plates which outline the periphery of the reactor core and are formed in axial and circumferential modules. Flow channels are formed in the long gaps between the adjacent round bar stock that communicates cooling water that enters through the core barrel at the top of the shroud and flows down through openings in the former plates to the bottom of the neutron reflector where it exits through a lower baffle orifice to join other cooling water flowing up through the lower core support plate.;HARKNESS ALEXANDER W [US];"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2936499A2 
EP2936499A4 
EP2936499B1";20.12.2012;"G21C11/06 
G21C5/00";"G21C11/06 (EP,CN,US) 
Y02E30/30 (EP,US)";"2015-10-28 
2016-08-17 
2017-08-30";26.06.2014;50974667
248;NEUTRON DETECTOR ASSEMBLY WITH VARIABLE LENGTH RHODIUM EMITTERS;A system to measure neutron flux in a nuclear fuel assembly includes at least two detectors placed in a nuclear fuel assembly, each of the detectors having an outer sheath and an inner emitter, the emitter having a structure to accept neutrons and provide an electrical signal, the outer sheath forming an interior volume into which the emitter is placed, an exterior lead, and at least one lead connected to each emitter, the lead transmitting the signal from the emitter to the exterior lead, wherein the at least two detectors are of a different length.;CHENG ALEXANDER Y C [US];"AREVA ANP INC [US] 
AREVA NP INC [US]";"EP1842205A2 
EP1842205A4 
EP1842205B1";27.01.2005;"G01T3/00 
G21C17/10 
G21C17/108";"G21C17/00 (KR) 
G21C17/102 (EP,US) 
G21C17/108 (EP,KR,US) 
Y02E30/30 (EP)";"2007-10-10 
2011-02-23 
2013-12-25";27.07.2006;36696760
249;OVERHEAD COMBUSTION HEATER;The invention relates to heat engineering, and more particularly to the design of water-heating boilers which are intended for outputting a heat transfer agent into a heating and hot water supply system. The heater has a housing in which a fuel combustion chamber is arranged, a grating, a tank for receiving a heat transfer agent and supplying same to a consumer, and a device for supplying and distributing air, which is in the form of a cone and a hollow disc having nozzle openings with interchangeable nozzles oriented at various angles in the fuel direction and towards the wall of the combustion chamber. The device for supplying air is in the form of a telescopic pipe. The air supply volume is controlled with the aid of a mechanical flap. Gases which form are completely combusted by the formation of a gap between the hollow disc and the walls of the combustion chamber. The apparatus is reliable in operation, environmentally safe and efficient.;"VAGANOV MAKSIM YUREVICH [RU] 
KRAUSAUKAS VALDAS [RU]";"VAGANOV MAKSIM YUREVICH [RU] 
KRAUSAUKAS VALDAS [RU] 
UAB VAKARO RASA [LT]";"EP3062034A1 
EP3062034A4";08.08.2013;"F23L1/00 
F24H1/00";"F23B60/02 (EP) 
F23B90/04 (EP) 
F23B90/08 (EP) 
F23C7/06 (EP) 
F23L1/02 (EP) 
F23L3/00 (EP) 
F23L9/02 (EP) 
F24H1/0027 (EP)";"2016-08-31 
2017-04-19";20.08.2014;51384617
250;M√©thode et ensemble de maintenance d‚Äôun √©quipement d‚Äôune installation industrielle;"MÈthode et ensemble de maintenance díun Èquipement díune installation industrielle La mÈthode de maintenance comprend líexÈcution díune sÈquence opÈratoire de maniËre rÈpÈtÈe, la sÈquence opÈratoire comprenant les Ètapes suivantes†:- (S10) acquisition díune image par un organe díacquisition díimages (35), líimage montrant líÈquipement (37) et un environnement de líÈquipement (37)†;- (S12) comparaison de ladite image avec líimage acquise ‡ la sÈquence opÈratoire prÈcÈdente†;- (S14) dÈtermination díune position de líorgane díacquisition díimages (35) par rapport ‡ líÈquipement (37) en utilisant ladite comparaison†;- (S16) affichage sur ladite image díun signe permettant de distinguer líÈquipement (37) de son environnement, ‡ une position dÈterminÈe par rapport ‡ líÈquipement (37), en utilisant ladite position de líorgane díacquisition díimages (35) par rapport ‡ líÈquipement (37). Figure pour l'abrÈgÈ : 7";"CAHOUET LAURENT [FR] 
LORIOT BENJAMIN [FR] 
THORIN PHILIPPE [FR]";FRAMATOME SA [FR];FR3148663A1;11.05.2023;"G06T7/70 
G06V10/12 
G06V10/40 
G21C19/20";"G21C17/003 (EP) 
G21C17/013 (EP) 
G21C17/017 (EP)";15.11.2024;14.11.2024;88068632
251;Passive residual heat removal system;"Disclosed is a passive residual heat removal system and nuclear power plant equipment configured to alleviate a rise in an internal pressure of a primary containment vessel (17), even if fluid line breakage of a reactor pressure vessel (15) occurs and for whatever reason, supply of a coolant (2) to the reactor pressure vessel (15) fails. This invention includes: a heat exchanger (1) provided at a position higher than a primary containment vessel (17); a condensate storage tank (5) disposed below the heat exchanger and above an upper end of a reactor core (13) placed in a reactor pressure vessel (15); a non-condensate gas discharge line (8) connected at a first end thereof to an upper section of the condensate storage tank (5) and at a second end thereof to a suppression pool (20); a second condensate discharge line (9) connected at a first end thereof to a position below that section of the condensate storage tank (5) to which the first end of the non-condensate gas discharge line (8) is connected, and at a second end thereof to the suppression pool (20); and a condensate return line (10) connected at a first end thereof to a position below that section of the condensate storage tank (5) to which the first end of the second condensate discharge line (9) is connected, and at a second end thereof to a side portion of the reactor pressure vessel (15), the side portion being above the upper end of the core (13).";"IKEGAWA TOMOHIKO [JP] 
KITO KAZUAKI [JP]";HITACHI GE NUCLEAR ENERGY LTD [JP];"EP2725582A1 
EP2725582B1";24.10.2012;"G21C15/18 
G21C9/012";"G21C15/18 (EP,US) 
G21C9/012 (EP,US) 
Y02E30/30 (EP,US)";"2014-04-30 
2016-10-19";24.04.2014;49447456
252;WIRELESS IN-CORE NEUTRON MONITOR;An in-core neutron monitor that employs vacuum microelectronic devices to configure an in-core instrument thimble assembly that monitors and wirelessly transmits a number of reactor parameters directly from the core of a nuclear reactor without the use of external cabling. The in-core instrument thimble assembly is substantially wholly contained within an instrument guide tube within a nuclear fuel assembly.;"SEIDEL JOHN G [US] 
FLAMMANG ROBERT W [US] 
CARVAJAL JORGE V [US] 
JAMES MICHAEL A [US] 
ARLIA NICOLA G [US]";"WESTINGHOUSE ELECTRIC CORP [US] 
WESTINGHOUSE ELECTRIC CO LLC [US]";"EP2661752A1 
EP2661752A4 
EP2661752B1";07.01.2011;"G21C17/00 
G21C17/10 
G21C17/108 
G21C3/326";"G01T3/00 (KR) 
G21C17/06 (KR) 
G21C17/10 (EP,US) 
G21C17/108 (EP,US) 
G21C3/326 (EP,US) 
Y02E30/30 (EP,US)";"2013-11-13 
2017-08-09 
2018-09-12";12.07.2012;46455243
253;FISSION REACTOR WITH SEGMENTED CLADDING BODIES HAVING CLADDING ARMS WITH INVOLUTE CURVE SHAPE;Plurality of layers form a nuclear fission reactor structure, each layer having an inner segment body, an intermediate segment body, and an outer segment body (each segment body separated by an interface). The layers include a plurality of cladding arms having involute curve shapes that spirally radiate outward from a radially inner end to a radially outer end. Chambers in the involute curve shaped cladding arm contain fuel compositions (and/or other materials such as moderators and poisons). The design of the involute curve shaped cladding arms and the composition of the materials conform to neutronic and thermal management requirements for the nuclear fission reactor and are of sufficiently common design and/or have sufficiently few variations as to reduce manufacturing complexity and manufacturing variability.;"INMAN JAMES B [US] 
BERGMAN JOSH J [US]";BWXT ADVANCED TECH LLC [US];"EP4425508A2 
EP4425508A3";30.09.2019;"G21C21/02 
G21C3/06 
G21C3/34 
G21C3/356 
G21C3/36 
G21C5/02";"G21C21/02 (EP,KR) 
G21C3/042 (KR,US) 
G21C3/06 (EP,KR) 
G21C3/16 (KR) 
G21C3/18 (US) 
G21C3/30 (US) 
G21C3/34 (EP,KR) 
G21C3/36 (EP,KR,US) 
G21C5/02 (EP) 
G21C5/06 (KR) 
G21C5/16 (US) 
G21C21/02 (US) 
G21C3/06 (US) 
G21C3/16 (US) 
G21C5/06 (US) 
Y02E30/30 (EP,KR) 
Y10S376/901 (KR)";"2024-09-04 
2024-10-16";08.04.2021;75338541
254;CONVERTER AND AN ENERGY CONVERSION METHOD, A TORQUE FLOW PUMP AND A TURBINE;The disclosed invention is aimed at developing environmentally clean sources of mechanical and/or electrical energy, which do not require the use of organic or nuclear fuel, at raising the efficiency of low-potential heat sources, including the thermal waste of anthropogenic activities, and at reducing harmful discharges to the atmosphere. The technical result is attained owing to the fact that the disclosed method for tornado-type conversion of energy of continuous medium, tornado-type energy converter (alternative embodiments), solar energy converter, method for magneto-thermal conversion of energy, tornado-type converter of magneto-thermal energy, tornado-type blower, and tornado-type turbine utilize the effect of self-organization of tornado-like jets and devices for forming man-made tornados.;"KIKNADZE GENNADY IRAKLIEVICH [RU] 
GACHECHILADZE IVAN ALEXANDROVICH [RU] 
OLEINIKOV VALERY GRIGORIEVICH [RU]";KIKNADZE GENNADY IRAKLIEVICH [RU];"EP2233738A1 
EP2233738A4 
EP2233738A8";29.12.2008;"F01D5/00 
F01D9/00 
F03D9/00 
F24S10/55";"F03G6/045 (EP,US) 
F03G6/06 (EP) 
F03D1/04 (EP,US) 
F05B2240/132 (EP) 
F05B2260/24 (EP) 
F24S20/20 (EP) 
Y02E10/46 (EP) 
Y02P80/10 (EP)";"2010-09-29 
2013-09-25 
2016-01-13";14.01.2010;41507265
255;MODULAR NUCLEAR BATTERY SYSTEM AND NUCLEAR CELL;The present invention is related to a Nuclear Battery comprising a plurality of Nuclear Cells housing a nuclear microreactor. The plurality of Nuclear Cells, or modules, combined can generate from 80 kW to 4.8 MW of thermal power and/or from 32 kW to 1.92 MW of electrical power, wherein the power generated is directly proportional to the number of modules or Nuclear Cells assembled in the Nuclear Battery and may vary according to demand. The Nuclear Battery is encapsulated in sealed containments to prevent the release of radioactive materials to operators, the environment and to protect the Nuclear Battery from external threats and damage. Examples of implementations of nuclear batteries or sets of them with electrical power generation capacity between 32 kW and 10 MW are presented, included in the category of small modular reactors and generation IV reactors.The heat generated in the core by fission chain reactions is transferred by conduction to the heat removal module of the reactor, and this transports the heat to the power generation module.;"MANOEL LOSADA MOREIRA JO√ÉO [BR] 
DE AGUIAR BRAID ADOLFO [BR]";TERMINUS PESQUISA E DESENVOLVIMENTO EM ENERGIA LTDA [BR];EP4481760A1;14.01.2022;"G21C1/04 
G21C1/16 
G21C15/257 
G21D5/02 
G21H1/00";"G21H1/00 (EP) 
Y02E30/30 (EP)";25.12.2024;20.07.2023;87278511
256;NUCLEAR REACTOR WITH HEATING ELEMENTS HOUSED IN THEIR ENTIRETY IN AN INTEGRATED PRESSURISER AND CORRESPONDING METHOD OF USE;The nuclear reactor comprises a vessel (3) and a pressuriser (15) housed in the vessel (3). The heating elements (13) of the pressuriser are housed in their entirety in the pressuriser (5), with only the electrical conductors (17) exiting the vessel (3) via electrical penetrations (51).;BRUN MICHEL [FR];SOC TECHNIQUE POUR LENERGIE ATOMIQUE [FR];"EP3317882A1 
EP3317882B1";01.07.2015;"G21C1/09 
G21C1/32 
G21C13/02 
G21C17/116 
G21C13/028";"G21C1/09 (EP,US) 
G21C1/32 (EP,US) 
G21C13/02 (EP) 
G21C13/028 (US) 
G21C17/116 (EP) 
G21C13/02 (US) 
G21C17/116 (US) 
Y02E30/30 (EP,US)";"2018-05-09 
2019-04-10";05.01.2017;54707868
257;Pressurized water-cooled nuclear reactor (PWR) core has each fuel assembly supporting cage in form of rigid structure of end units and lengthwise members;A PWR core has a series of fuel assemblies (5) between top (8) and bottom (7) plates, each in a supporting cage (5a) in the form of a strong, rigid structure (21) made up of top (17) and bottom (16) end units and rigid lengthwise connecting members (22). Each assembly has a total length that is less than the vertical distance between the top and bottom plates, so that permanent contact between the upper unit of the assembly and the top plate is avoided by having a clearance of between 2 and 10 mm.;"BEATI ANGELO 
HERTZ DOMINIQUE 
GAUTHIER JACQUES 
RONDEPIERRE JEAN FRANCOIS";FRAMATOME ANP [FR];"FR2864325A1 
FR2864325B1";22.12.2003;"G21C3/33 
G21C3/12 
G21C3/32 
G21C3/33 
G21C5/06";"G21C3/12 (EP) 
G21C3/32 (EP) 
G21C3/33 (EP) 
G21C5/06 (EP) 
Y02E30/30 (EP)";"2005-06-24 
2008-02-15";24.06.2005;34630460
258;FUEL PENCIL FOR A NUCLEAR REACTOR;"The nuclear reactor (1) comprises a lower stopper (10) sealingly fixed to a lower end of the tubular casing (2) of the pencil which comprises a part (10a) which is internal to the casing (2) successively comprising a first cylindrical section (11) having a diameter which is substantially equal to the inner diameter of the tubular casing (2); a second cylindrical section (12) whose diameter is smaller than the inner diameter of the tubular casing (2); and a third cylindrical section (13) whose inner diameter is smaller than the inner diameter of the tubular casing (2) and greater than the diameter of the second cylindrical section (12), such that 1-2 tenths of a millimeter radial play is created in the gas passage between the outer surface of the third section (13) and the inner surface of the casing (8). The fuel pellet column (3) rests on a substantially planar upper surface (14) of the third cylindrical section (13) of the inner part (10a) of the stopper (10). An annular space (16) for the expansion of gas making up a plenum which is complementary to the fuel pencil is defined between the outer surface of the second cylindrical section (12) of the inner part (10a) of the stopper (10) and the inner surface of the tubular casing (2).";BLAUDIN DE THE FRANCOIS [FR];AREVA NP [FR];"EP1697944A2 
EP1697944B1";22.12.2003;"G21C3/10 
G21C3/17 
G21C3/18";"G21C3/02 (KR) 
G21C3/10 (EP,KR,US) 
G21C3/17 (EP,KR,US) 
G21C3/18 (EP,KR,US) 
Y02E30/30 (EP,US)";"2006-09-06 
2011-02-23";24.06.2005;34630461
